Diameter (mm),Height (mm),Compressive Strength (MPa),Fiber Volume Ratio,Fiber Elastic Modulus (GPa),Fiber Tensile Strength (MPa),Fiber Thickness (mm),Number of Layers,Confinement Strength (MPa)
160,320,26.2,0.076,26,325,3,3,56.4
152,305,49.4,0.016,120,2900,0.6,3,105.3
152,305,79.9,0.067,22,508,2.5,2,94.1
150,300,54,0.057,31,602,2.1,3,111.24
150,600,31.2,0.069,21,464,2.54,2,87.5
100,200,67.03,0.053,26,575,1.3,1,81.3
150,300,35.21,0.01,76,2300,0.38,1,56.28
152,305,39,0.011,120,2900,0.4,2,69.2
152,305,49.4,0.016,120,2900,0.6,3,110.1
102,204,32,0.014,72,1520,0.35,1,51.6
152.5,305,112.27,0.032,129,2390,1.2,6,168.4
102,203,50.5,0.035,48,2070,0.88,2,135.1
105,315,50.64,0.011,118,2060,0.29,4,96.02
150,300,44.7,0.057,31,602,2.1,3,103.45
150,300,47.7,0.035,27,540,1.3,1,56.7
160,320,56.7,0.044,24,383,1.76,4,95.5
105,315,50.64,0.003,118,2060,0.07,1,59.48
152,305,38.5,0.068,21,506,2.54,2,77.3
152,304,37,0.105,28,642,3.9,3,90
150,300,23.1,0.009,81,1794,0.35,1,46.4
160,320,26.2,0.025,26,325,1,1,38.3
150,300,43,0.144,14,230,5.21,4,74.4
160,320,61.7,0.076,26,325,3,3,92.1
152,305,79.9,0.067,22,508,2.5,2,92.5
153,305,54.29,0.032,95,3055,1.2,4,126.5
152,305,45.9,0.004,80,1826,0.17,1,48.4
150,300,44.7,0.038,31,602,1.4,2,76.85
120,240,32.7,0.061,33,744,1.8,4,101.3
150,300,36.3,0.016,52,583,0.6,2,60.16
160,320,56.7,0.011,24,383,0.44,1,74
120,240,32.7,0.061,33,744,1.8,4,88
152.5,305,85.71,0.032,129,2390,1.2,6,168
152,305,45.9,0.013,81,1826,0.51,3,65.9
160,320,40,0.008,74,2500,0.33,3,51.8
150,300,32.54,0.031,65,1700,1.15,7,135.81
150,300,36.3,0.016,52,583,0.6,2,69.02
153,305,31.2,0.022,56,1800,0.83,3,65.43
152,305,45.9,0.013,81,1826,0.51,3,64.6
150,300,60,0.035,27,540,1.3,1,62.4
160,320,42.6,0.025,26,325,1,1,55.5
150,300,28.35,0.006,86,1957,0.23,1,53.27
150,300,36.3,0.016,52,583,0.6,2,56.41
153,305,36.5,0.009,80,1826,0.34,2,53.8
153,305,33.9,0.011,95,3055,0.4,2,75.1
152,305,79.9,0.101,22,508,3.75,3,126.1
153,305,39.6,0.013,81,1826,0.51,3,60.9
152,305,79.9,0.136,21,496,5,4,174.6
153,305,39.6,0.004,80,1826,0.17,1,38.8
194,582,23.98,0.012,118,2060,0.57,4,80.86
150,300,35.6,0.104,62,1150,3.8,2,192.21
152,305,49.4,0.016,120,2900,0.6,3,107.7
